title,handle,description,vendor,product type,tags,sku,price,compare at price,inventory quantity,image url,image alt
Wireless Bluetooth Headphones,wireless-bluetooth-headphones,Premium wireless headphones with noise cancellation and 30-hour battery life.,AudioPro,Electronics,headphones wireless audio,WBH-001,199.99,249.99,50,https://example.com/headphones-1.jpg,Wireless Bluetooth Headphones
Stainless Steel Water Bottle,stainless-steel-water-bottle,Durable insulated water bottle keeps drinks cold for 24 hours or hot for 12 hours.,HydroFlex,Sports,water bottle insulated eco-friendly,SSWB-32-001,34.99,44.99,100,https://example.com/water-bottle.jpg,Stainless Steel Water Bottle
Organic Cotton T-Shirt,organic-cotton-t-shirt,Comfortable sustainable organic cotton t-shirt available in multiple colors and sizes.,EcoWear,Apparel,t-shirt organic cotton,OCT-M-WHT,29.99,39.99,75,https://example.com/tshirt.jpg,Organic Cotton T-Shirt
Premium Running Shoes,premium-running-shoes,Lightweight running shoes with advanced cushioning technology for comfort and performance.,SportGear,Footwear,running shoes sport,RS-10-BLK,129.99,169.99,40,https://example.com/shoes.jpg,Premium Running Shoes
Bamboo Cutting Board,bamboo-cutting-board,Eco-friendly bamboo cutting board with built-in juice groove and non-slip feet.,KitchenPro,Kitchen,cutting board bamboo sustainable,BCB-001,24.99,34.99,60,https://example.com/cutting-board.jpg,Bamboo Cutting Board
Portable Phone Charger,portable-phone-charger,20000mAh portable power bank with fast charging support for all devices.,TechPower,Electronics,charger power bank portable,PPC-20K,39.99,49.99,80,https://example.com/charger.jpg,Portable Phone Charger
Yoga Mat Premium,yoga-mat-premium,Non-slip yoga mat with carrying strap perfect for studio or home practice.,FitnessPro,Sports,yoga mat fitness,YM-PREM,49.99,69.99,35,https://example.com/yoga-mat.jpg,Yoga Mat Premium
Leather Travel Backpack,leather-travel-backpack,Durable leather backpack with multiple compartments perfect for travel and daily use.,TravelGear,Luggage,backpack travel leather,LTB-001,199.99,249.99,25,https://example.com/backpack.jpg,Leather Travel Backpack
Stainless Steel Coffee Thermos,stainless-steel-coffee-thermos,Keep your coffee hot for up to 12 hours with this premium stainless steel thermos.,CoffeeLove,Kitchen,coffee thermos insulated,SSCT-16OZ,34.99,44.99,90,https://example.com/thermos.jpg,Stainless Steel Coffee Thermos
Wireless Mouse Ergonomic,wireless-mouse-ergonomic,Ergonomic wireless mouse with precision tracking and 18-month battery life.,TechGear,Electronics,mouse wireless ergonomic,WME-001,39.99,59.99,120,https://example.com/mouse.jpg,Wireless Mouse Ergonomic
